action step b n phase party b0 b10 b1 b11 b2 b12 b3 b13 b4 b14 b5 b15 b6 b16 b7 b17 b8 b18 b9 b19 a0 a10 a1 a11 a2 a12 a3 a13 a4 a14 a5 a15 a6 a16 a7 a17 a8 a18 a9 a19
[receiveB] 33 1 3 2 1 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveB] 34 1 4 2 1 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveB] 35 1 5 2 1 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveB] 36 1 6 2 1 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveB] 37 1 7 2 1 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveB] 38 1 8 2 1 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveB] 39 1 9 2 1 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveB] 40 2 0 2 1 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveB] 41 2 0 2 2 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveA] 42 2 1 2 2 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveA] 43 2 2 2 2 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveA] 44 2 3 2 2 2 0 2 0 2 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveA] 45 2 4 2 2 2 0 2 0 2 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveA] 46 2 5 2 2 2 0 2 0 2 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveA] 47 2 6 2 2 2 0 2 0 2 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveA] 48 2 7 2 2 2 0 2 0 2 2 2 0 2 0 2 0 2 2 1 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveA] 49 2 8 2 2 2 0 2 0 2 2 2 0 2 0 2 0 2 2 2 2 1 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveA] 50 2 9 2 2 2 0 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 1 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveA] 51 2 1 2 1 2 0 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveB] 52 2 2 2 1 2 0 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 2 1 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveB] 53 2 3 2 1 2 0 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 2 2 2 1 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveB] 54 2 4 2 1 2 0 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveB] 55 2 5 2 1 2 0 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveB] 56 2 6 2 1 2 0 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 0 1 2 2 0 2 0 2 0
[receiveB] 57 2 7 2 1 2 0 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveB] 58 2 8 2 1 2 0 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveB] 59 2 9 2 1 2 0 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveB] 60 1 0 3 1 2 0 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveB] 61 1 0 3 2 2 0 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveA] 62 1 1 3 2 2 1 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveA] 63 1 2 3 2 2 1 2 1 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveA] 64 1 3 3 2 2 1 2 1 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveA] 65 1 4 3 2 2 1 2 1 2 2 2 1 2 0 2 0 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveA] 66 1 5 3 2 2 1 2 1 2 2 2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveA] 67 1 6 3 2 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveA] 68 1 7 3 2 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveA] 69 1 8 3 2 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveA] 70 1 9 3 2 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveA] 71 1 1 3 1 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveB] 72 1 2 3 1 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveB] 73 1 3 3 1 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveB] 74 1 4 3 1 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 2 0
[receiveB] 75 1 5 3 1 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 0 2 2 2 0 2 0 2 0
[receiveB] 76 1 6 3 1 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 1 2 2 2 0 2 0 2 0
[receiveB] 77 1 7 3 1 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 1 2 2 2 0 2 0 2 0
[receiveB] 78 1 8 3 1 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 0 2 0
[receiveB] 79 1 9 3 1 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 0
[receiveB] 80 2 0 3 1 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveB] 81 2 0 3 2 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveA] 82 2 1 3 2 2 2 2 1 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveA] 83 2 2 3 2 2 2 2 2 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveA] 84 2 3 3 2 2 2 2 2 2 2 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveA] 85 2 4 3 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveA] 86 2 5 3 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveA] 87 2 6 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveA] 88 2 7 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveA] 89 2 8 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveA] 90 2 9 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveA] 91 2 1 3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveB] 92 2 2 3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveB] 93 2 3 3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveB] 94 2 4 3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1
[receiveB] 95 2 5 3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 1 2 1 2 1
[receiveB] 96 2 6 3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 1
[receiveB] 97 2 7 3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 1
[receiveB] 98 2 8 3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1
[receiveB] 99 2 9 3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1
[receiveB] 100 2 9 4 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
counter 101 2 9 4 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
