action step b n phase party b0 b10 b1 b11 b2 b12 b3 b13 b4 b14 b5 b15 b6 b16 b7 b17 b8 b18 b9 b19 a0 a10 a1 a11 a2 a12 a3 a13 a4 a14 a5 a15 a6 a16 a7 a17 a8 a18 a9 a19
[receiveA] 33 1 2 3 2 2 2 2 2 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 2 1 2 0 2 0 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveA] 34 1 3 3 2 2 2 2 2 2 1 2 0 2 2 0 0 0 0 0 0 0 0 0 0 2 1 2 0 2 0 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveA] 35 1 4 3 2 2 2 2 2 2 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 2 1 2 0 2 0 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveA] 36 1 1 3 1 2 2 2 2 2 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 2 1 2 0 2 0 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveB] 37 1 2 3 1 2 2 2 2 2 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 2 1 2 1 2 0 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveB] 38 1 3 3 1 2 2 2 2 2 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 2 1 2 1 2 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveB] 39 1 4 3 1 2 2 2 2 2 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 2 1 2 1 2 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveB] 40 2 0 3 1 2 2 2 2 2 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 2 1 2 1 2 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveB] 41 2 0 3 2 2 2 2 2 2 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 2 2 2 1 2 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveA] 42 2 1 3 2 2 2 2 2 2 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 2 2 2 1 2 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveA] 43 2 2 3 2 2 2 2 2 2 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 2 2 2 1 2 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveA] 44 2 3 3 2 2 2 2 2 2 2 2 1 2 2 0 0 0 0 0 0 0 0 0 0 2 2 2 1 2 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveA] 45 2 4 3 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 2 2 2 1 2 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveA] 46 2 1 3 1 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 2 2 2 1 2 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveB] 47 2 2 3 1 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveB] 48 2 3 3 1 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveB] 49 2 4 3 1 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0
[receiveB] 50 2 4 4 1 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0
counter 51 2 4 4 1 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0
