action step launch new runCount start run lastSeen good bad recordLast badObserve deliver done observe0 observe1 observe2 observe3 observe4 observe5 observe6 observe7 observe8 observe9 observe10 observe11 observe12 observe13 observe14 observe15 observe16 observe17 observe18 observe19
crowds 30 false false 2 true false 20 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 31 false false 2 false true 0 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 32 false false 2 false false 0 true false true false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 33 false false 2 false true 1 true false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 34 false false 2 false true 1 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 35 false false 2 false false 1 true false true false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 36 false false 2 false true 3 true false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 37 false false 2 false true 3 true false false false true false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 38 false false 2 false false 3 false false false false false true 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 39 false true 2 false false 20 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 40 false false 1 true false 20 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 41 false false 1 false true 0 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 42 false false 1 false false 0 true false true false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 43 false false 1 false true 4 true false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 44 false false 1 false true 4 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 45 false false 1 false false 4 true false true false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 46 false false 1 false true 4 true false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 47 false false 1 false true 4 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 48 false false 1 false false 4 true false true false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 49 false false 1 false true 0 true false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 50 false false 1 false true 0 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 51 false false 1 false false 0 true false true false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 52 false false 1 false true 1 true false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 53 false false 1 false true 1 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 54 false false 1 false false 1 true false true false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 55 false false 1 false true 4 true false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 56 false false 1 false true 4 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 57 false false 1 false false 4 true false true false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 58 false false 1 false true 0 true false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 59 false false 1 false true 0 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 60 false false 1 false false 0 true false true false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 61 false false 1 false true 1 true false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 62 false false 1 false true 1 true false false false true false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 63 false false 1 false false 1 false false false false false true 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 64 false true 1 false false 20 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 65 false false 0 true false 20 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 66 false false 0 false true 0 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 67 false false 0 false false 0 true false true false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 68 false false 0 false true 2 true false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 69 false false 0 false true 2 true false false false true false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 70 false false 0 false false 2 false false false false false true 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 71 false true 0 false false 20 false false false false false false 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
