action step b n phase party b0 b20 b1 b21 b2 b22 b3 b23 b4 b24 b5 b25 b6 b26 b7 b27 b8 b28 b9 b29 b10 b30 b11 b31 b12 b32 b13 b33 b14 b34 b15 b35 b16 b36 b17 b37 b18 b38 b19 b39 a0 a20 a1 a21 a2 a22 a3 a23 a4 a24 a5 a25 a6 a26 a7 a27 a8 a28 a9 a29 a10 a30 a11 a31 a12 a32 a13 a33 a14 a34 a15 a35 a16 a36 a17 a37 a18 a38 a19 a39
[receiveA] 10 1 5 1 1 0 2 2 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 11 1 5 1 2 0 2 2 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 12 1 6 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 13 1 6 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 14 1 7 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 15 1 7 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 16 1 8 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 17 1 8 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 18 1 9 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 19 1 9 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 20 1 10 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 21 1 10 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 22 1 11 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 23 1 11 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 24 1 12 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 25 1 12 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 26 1 13 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 27 1 13 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 28 1 14 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 29 1 14 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 30 1 15 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 31 1 15 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 0 0 0 0 0 0 0
[receiveA] 32 1 16 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 0 0 0 0 0 0 0
[receiveB] 33 1 16 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 0 0 0 0 0
[receiveA] 34 1 17 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 0 0 0 0 0
[receiveB] 35 1 17 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 0 0 0 0
[receiveA] 36 1 18 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 0 0 0 0
[receiveB] 37 1 18 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 0 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 0 0
[receiveA] 38 1 19 1 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 0 0
[receiveB] 39 1 19 1 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 0 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 40 1 0 2 1 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 41 1 0 2 2 0 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 42 1 1 2 2 1 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 43 1 2 2 2 1 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 44 1 3 2 2 1 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 45 1 4 2 2 1 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 46 1 5 2 2 1 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 47 1 6 2 2 1 2 2 0 2 0 2 0 2 0 1 2 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 48 1 7 2 2 1 2 2 0 2 0 2 0 2 0 1 2 1 2 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 49 1 8 2 2 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 50 1 9 2 2 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 51 1 10 2 2 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 52 1 11 2 2 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 53 1 12 2 2 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 0 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 54 1 13 2 2 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 55 1 14 2 2 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 56 1 15 2 2 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 57 1 16 2 2 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 58 1 17 2 2 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 0 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 59 1 18 2 2 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 0 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 60 1 19 2 2 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 0 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveA] 61 1 1 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 0 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 62 1 2 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 0 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 63 1 3 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 64 1 4 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 65 1 5 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 66 1 6 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 2 0 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 67 1 7 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 2 0 2 0 2 0 1 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 68 1 8 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 2 0 2 0 2 0 1 2 1 2 0 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 69 1 9 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 2 0 2 0 2 0 1 2 1 2 1 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 70 1 10 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 2 0 2 0 2 0 1 2 1 2 1 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 71 1 11 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 2 0 2 0 2 0 1 2 1 2 1 2 2 0 2 0 0 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 72 1 12 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 2 0 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 73 1 13 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 2 0 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 0 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 74 1 14 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 2 0 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 2 0 0 2 0 2 0 2 2 0 2 0
[receiveB] 75 1 15 2 1 1 2 2 0 2 0 2 0 2 0 1 2 1 2 1 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 1 2 1 2 2 0 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 2 0 0 2 0 2 0 2 2 0 2 0
