action step c s1 u1 v1 p1 s2 u2 v2 p2 s3 u3 v3 p3 s4 u4 v4 p4 s5 u5 v5 p5 s6 u6 v6 p6
[retry] 21 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 22 1 1 true 1 1 1 true 1 1 1 true 0 0 1 true 0 0 1 true 1 1 1 true 0 0
[read] 23 2 1 false 1 1 1 true 0 1 1 false 0 0 1 true 1 0 1 true 0 1 1 true 1 0
[read] 24 3 1 false 0 0 1 true 0 1 1 false 1 0 1 false 0 0 1 false 1 1 1 true 1 0
[read] 25 4 1 false 0 0 1 false 1 1 1 false 0 0 1 false 1 0 1 false 1 0 1 false 0 0
[read] 26 5 1 false 1 0 1 false 0 0 1 false 1 0 1 false 1 0 1 false 0 0 1 false 0 0
[read] 27 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 28 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 29 1 1 true 1 1 1 true 0 0 1 true 1 1 1 true 0 0 1 true 0 0 1 true 1 1
[read] 30 2 1 true 0 1 1 true 1 0 1 true 0 1 1 false 0 0 1 true 1 0 1 false 1 1
[read] 31 3 1 false 1 1 1 false 0 0 1 true 0 1 1 false 1 0 1 true 1 0 1 false 0 0
[read] 32 4 1 false 0 0 1 false 0 0 1 false 1 1 1 false 1 0 1 false 0 0 1 false 1 0
[read] 33 5 1 false 0 0 1 false 1 0 1 false 1 0 1 false 0 0 1 false 1 0 1 false 0 0
[read] 34 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 35 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 36 1 1 true 0 0 1 true 0 0 1 true 0 0 1 true 1 1 1 true 1 1 1 true 0 0
[read] 37 2 1 false 0 0 1 false 0 0 1 true 1 0 1 false 1 1 1 true 0 1 1 false 0 0
[read] 38 3 1 false 0 0 1 false 1 0 1 true 1 0 1 false 0 0 1 true 0 1 1 false 0 0
[read] 39 4 1 false 1 0 1 false 1 0 1 false 0 0 1 false 0 0 1 true 0 1 1 false 0 0
[read] 40 5 1 false 1 0 1 false 0 0 1 false 0 0 1 false 0 0 1 true 0 1 1 false 1 0
[read] 41 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 42 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 43 1 1 true 1 1 1 true 0 0 1 true 0 0 1 true 0 0 1 true 0 0 1 true 1 1
[read] 44 2 1 true 0 1 1 false 0 0 1 false 0 0 1 false 0 0 1 true 1 0 1 false 1 1
[read] 45 3 1 true 0 1 1 false 0 0 1 false 0 0 1 false 1 0 1 true 1 0 1 false 0 0
[read] 46 4 1 true 0 1 1 false 0 0 1 false 1 0 1 false 1 0 1 false 0 0 1 false 0 0
[read] 47 5 1 true 0 1 1 false 1 0 1 false 1 0 1 false 0 0 1 false 0 0 1 false 0 0
[read] 48 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 49 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 50 1 1 true 0 0 1 true 1 1 1 true 1 1 1 true 0 0 1 true 1 1 1 true 1 1
[read] 51 2 1 true 1 0 1 false 1 1 1 true 0 1 1 true 1 0 1 false 1 1 1 true 0 1
[read] 52 3 1 true 1 0 1 false 0 0 1 false 1 1 1 true 1 0 1 false 0 0 1 false 1 1
[read] 53 4 1 false 0 0 1 false 1 0 1 false 1 0 1 false 0 0 1 false 1 0 1 false 1 0
[read] 54 5 1 false 1 0 1 false 1 0 1 false 0 0 1 false 1 0 1 false 1 0 1 false 0 0
[read] 55 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 56 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 57 1 1 true 1 1 1 true 0 0 1 true 0 0 1 true 0 0 1 true 1 1 1 true 0 0
[read] 58 2 1 true 0 1 1 false 0 0 1 false 0 0 1 true 1 0 1 true 0 1 1 true 1 0
[read] 59 3 1 true 0 1 1 false 0 0 1 false 1 0 1 false 0 0 1 false 1 1 1 false 0 0
[read] 60 4 1 true 0 1 1 false 1 0 1 false 0 0 1 false 1 0 1 false 0 0 1 false 0 0
[read] 61 5 1 false 1 1 1 false 0 0 1 false 1 0 1 false 0 0 1 false 0 0 1 false 0 0
[read] 62 5 2 false 0 1 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 63 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 64 1 1 true 0 0 1 true 1 1 1 true 0 0 1 true 0 0 1 true 1 1 1 true 0 0
[read] 65 2 1 true 1 0 1 true 0 1 1 false 0 0 1 true 1 0 1 true 0 1 1 false 0 0
[read] 66 3 1 false 0 0 1 true 0 1 1 false 1 0 1 false 0 0 1 true 0 1 1 false 1 0
[read] 67 4 1 false 0 0 1 false 1 1 1 false 0 0 1 false 0 0 1 false 1 1 1 false 0 0
[read] 68 5 1 false 1 0 1 false 0 0 1 false 0 0 1 false 1 0 1 false 0 0 1 false 0 0
[read] 69 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 70 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 71 1 1 true 1 1 1 true 1 1 1 true 0 0 1 true 1 1 1 true 1 1 1 true 0 0
[read] 72 2 1 false 1 1 1 true 0 1 1 true 1 0 1 false 1 1 1 true 0 1 1 true 1 0
[read] 73 3 1 false 0 0 1 false 1 1 1 true 1 0 1 false 0 0 1 false 1 1 1 true 1 0
[read] 74 4 1 false 1 0 1 false 1 0 1 false 0 0 1 false 1 0 1 false 1 0 1 false 0 0
[read] 75 5 1 false 1 0 1 false 0 0 1 false 1 0 1 false 1 0 1 false 0 0 1 false 1 0
[read] 76 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 77 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 78 1 1 true 1 1 1 true 1 1 1 true 1 1 1 true 0 0 1 true 1 1 1 true 1 1
[read] 79 2 1 false 1 1 1 false 1 1 1 true 0 1 1 true 1 0 1 false 1 1 1 false 1 1
[read] 80 3 1 false 1 0 1 false 0 0 1 false 1 1 1 true 1 0 1 false 1 0 1 false 1 0
[read] 81 4 1 false 0 0 1 false 1 0 1 false 1 0 1 true 1 0 1 false 1 0 1 false 1 0
[read] 82 5 1 false 1 0 1 false 1 0 1 false 1 0 1 true 1 0 1 false 1 0 1 false 0 0
[read] 83 5 2 false 0 0 2 false 0 0 2 false 0 0 2 true 0 0 2 false 0 0 2 false 0 0
[done] 84 5 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0
[loop] 85 5 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0
