action step b n phase party b0 b15 b1 b16 b2 b17 b3 b18 b4 b19 b5 b20 b6 b21 b7 b22 b8 b23 b9 b24 b10 b25 b11 b26 b12 b27 b13 b28 b14 b29 a0 a15 a1 a16 a2 a17 a3 a18 a4 a19 a5 a20 a6 a21 a7 a22 a8 a23 a9 a24 a10 a25 a11 a26 a12 a27 a13 a28 a14 a29
[receiveB] 11 1 5 1 2 0 2 0 2 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 12 1 6 1 1 0 2 0 2 2 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 13 1 6 1 2 0 2 0 2 2 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 14 1 7 1 1 0 2 0 2 2 0 2 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 15 1 7 1 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 16 1 8 1 1 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 17 1 8 1 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 18 1 9 1 1 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 19 1 9 1 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 20 1 10 1 1 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 21 1 10 1 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 0 0 0 0 0 0 0
[receiveA] 22 1 11 1 1 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 0 0 0 0 0 0 0 0
[receiveB] 23 1 11 1 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 0 0 0 0 0
[receiveA] 24 1 12 1 1 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 2 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 0 0 0 0 0
[receiveB] 25 1 12 1 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 2 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 0 0 0
[receiveA] 26 1 13 1 1 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 2 0 0 2 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 0 0 0
[receiveB] 27 1 13 1 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 2 0 0 2 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 0 0
[receiveA] 28 1 14 1 1 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 2 0 0 2 0 2 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 0 0
[receiveB] 29 1 14 1 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 2 0 0 2 0 2 0 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 30 1 0 2 1 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveB] 31 1 0 2 2 0 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 32 1 1 2 2 1 2 0 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 33 1 2 2 2 1 2 1 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 34 1 3 2 2 1 2 1 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 35 1 4 2 2 1 2 1 2 2 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 36 1 5 2 2 1 2 1 2 2 0 2 0 1 2 0 2 0 2 2 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 37 1 6 2 2 1 2 1 2 2 0 2 0 1 2 1 2 0 2 2 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 38 1 7 2 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 39 1 8 2 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 40 1 9 2 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 0 2 0 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 41 1 10 2 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 0 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 42 1 11 2 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 43 1 12 2 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 0 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 44 1 13 2 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 0 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 45 1 14 2 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 0 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveA] 46 1 1 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 0 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveB] 47 1 2 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 0 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveB] 48 1 3 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveB] 49 1 4 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 0 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveB] 50 1 5 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveB] 51 1 6 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 0 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveB] 52 1 7 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 0 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveB] 53 1 8 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveB] 54 1 9 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveB] 55 1 10 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 0 2 2 0 0 2 0 2 2 0
[receiveB] 56 1 11 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 0 2 0 2 2 0
[receiveB] 57 1 12 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 0 2 0 2 2 0
[receiveB] 58 1 13 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 0 2 2 0
[receiveB] 59 1 14 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveB] 60 2 0 2 1 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveB] 61 2 0 2 2 1 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 62 2 1 2 2 2 2 1 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 63 2 2 2 2 2 2 2 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 64 2 3 2 2 2 2 2 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 65 2 4 2 2 2 2 2 2 2 0 2 0 1 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 66 2 5 2 2 2 2 2 2 2 0 2 0 2 2 1 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 67 2 6 2 2 2 2 2 2 2 0 2 0 2 2 2 2 1 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 68 2 7 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 69 2 8 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 70 2 9 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 1 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 71 2 10 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 1 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 72 2 11 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 73 2 12 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 1 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 74 2 13 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 1 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 75 2 14 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 1 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveA] 76 2 1 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 1 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveB] 77 2 2 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 1 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveB] 78 2 3 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveB] 79 2 4 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 2 0 1 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveB] 80 2 5 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 2 0 2 2 1 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveB] 81 2 6 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 2 0 2 2 2 2 1 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveB] 82 2 7 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 2 0 2 2 2 2 2 2 1 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveB] 83 2 8 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveB] 84 2 9 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveB] 85 2 10 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 1 2 2 0 1 2 1 2 2 0
[receiveB] 86 2 11 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 1 2 1 2 2 0
[receiveB] 87 2 12 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 1 2 1 2 2 0
[receiveB] 88 2 13 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 1 2 2 0
[receiveB] 89 2 14 2 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 2 2 0
[receiveB] 90 1 0 3 1 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 2 2 0
[receiveB] 91 1 0 3 2 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 1 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 2 2 0
[receiveA] 92 1 1 3 2 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 1 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 2 2 0
[receiveA] 93 1 2 3 2 2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 1 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 2 2 0
[receiveA] 94 1 3 3 2 2 2 2 2 2 1 2 0 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 1 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 2 2 0
[receiveA] 95 1 4 3 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 1 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 2 2 0
[receiveA] 96 1 5 3 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 1 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 2 2 0
[receiveA] 97 1 6 3 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 1 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 2 2 0
[receiveA] 98 1 7 3 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 1 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 2 2 0
